id,order_date,order_status,customer_id,product_sku,quantity,total_price
127530,12-01-10 8:26,sale,1645,ABC001,2,19400
127564,12-01-10 8:26,sale,1321,ABC001,5,48500
127701,12-01-10 8:26,sale,1376,ABC001,2,19400
127815,12-01-10 8:26,sale,1016,ABC001,2,19400
128076,12-01-10 8:26,sale,1013,ABC001,5,48500
128085,12-01-10 8:26,sale,663,ABC001,2,19400
128126,12-01-10 8:26,sale,933,ABC001,1,9700
128503,12-01-10 8:28,sale,779,ABC001,2,19400
129873,12-01-10 8:28,draft,1043,ABC001,0,0
129940,12-01-10 8:34,draft,1043,ABC001,0,0
130005,12-01-10 8:34,draft,1043,ABC001,0,0
130054,12-01-10 8:34,draft,1043,ABC001,0,0
130114,12-01-10 8:34,draft,1043,ABC001,0,0
130153,12-01-10 8:34,draft,1043,ABC001,0,0
130192,12-01-10 8:34,draft,1043,ABC001,0,0
130231,12-01-10 8:34,draft,1043,ABC001,0,0
132030,12-01-10 8:34,draft,1043,ABC001,0,0
128077,12-01-10 8:34,sale,1013,ABC002,5,47500
128088,12-01-10 8:34,sale,663,ABC002,2,19000
128535,12-01-10 8:34,sale,787,ABC002,1,9500
127932,12-01-10 8:34,sale,1095,ADE001,12,68400
128411,12-01-10 8:34,sale,1004,ADE002,1,37500
127762,12-01-10 8:34,sale,1375,AIR001,2,30000
127797,12-01-10 8:34,sale,1233,AIR001,1,15000
127946,12-01-10 8:34,sale,677,AIR001,3,45000
127967,12-01-10 8:35,sale,1308,AIR001,2,30000
128533,12-01-10 8:45,sale,787,AIR001,1,15000
128001,12-01-10 8:45,sale,1465,ALE002,1,19000
128258,12-01-10 8:45,sale,848,ALE002,1,19000
128389,12-01-10 8:45,sale,1401,ALE002,1,19000
129874,12-01-10 8:45,draft,1043,ALE002,0,0
129941,12-01-10 8:45,draft,1043,ALE002,0,0
130006,12-01-10 8:45,draft,1043,ALE002,0,0
130055,12-01-10 8:45,draft,1043,ALE002,0,0
130115,12-01-10 8:45,draft,1043,ALE002,0,0
130154,12-01-10 8:45,draft,1043,ALE002,0,0
130193,12-01-10 8:45,draft,1043,ALE002,0,0
130232,12-01-10 8:45,draft,1043,ALE002,0,0
132031,12-01-10 8:45,draft,1043,ALE002,0,0
127696,12-01-10 8:45,sale,1376,ALE004,1,19000
128259,12-01-10 8:45,sale,848,ALE004,1,19000
128410,12-01-10 8:45,sale,1004,ALE004,1,19000
127734,12-01-10 8:45,sale,1701,ANG001,1,11000
128128,12-01-10 8:45,sale,1607,ANG001,1,11000
127548,12-01-10 8:45,sale,978,AQU001,12,43500
127828,12-01-10 8:45,sale,824,AQU001,12,43500
127872,12-01-10 9:00,sale,1143,AQU001,12,43500
127971,12-01-10 9:01,sale,866,AQU001,12,43500
128098,12-01-10 9:01,sale,663,AQU001,12,43500
128152,12-01-10 9:02,sale,1687,AQU001,12,43500
128159,12-01-10 9:02,sale,867,AQU001,12,43500
128287,12-01-10 9:02,sale,790,AQU001,12,43500
128299,12-01-10 9:02,sale,1454,AQU001,12,43500
128507,12-01-10 9:02,sale,713,AQU001,36,130500
127483,12-01-10 9:02,sale,1209,AQU002,48,84000
127680,12-01-10 9:02,sale,1221,AQU002,24,42000
127698,12-01-10 9:02,sale,1376,AQU002,24,42000
127796,12-01-10 9:02,sale,1233,AQU002,24,42000
127813,12-01-10 9:02,sale,1212,AQU002,240,420000
127829,12-01-10 9:02,sale,824,AQU002,24,42000
127933,12-01-10 9:02,sale,1095,AQU002,24,42000
127969,12-01-10 9:02,sale,1059,AQU002,24,42000
127970,12-01-10 9:02,sale,866,AQU002,72,126000
128025,12-01-10 9:02,sale,1163,AQU002,12,21000
128039,12-01-10 9:02,sale,698,AQU002,5,8750
